Year and quater,SEAS5_mae,2D Conv-based_mae,3D Conv-based_mae,TimeSformer_mae,SEAS5_ssim,2D Conv-based_ssim,3D Conv-based_ssim,TimeSformer_ssim
2020Q1,"0,0789","0,0691","0,0585","0,0988","0,6764","0,6596","0,6875","0,5886"
2020Q2,"0,0870","0,0941","0,0685","0,1131","0,6212","0,6098","0,6636","0,5278"
2020Q3,"0,0728","0,0492","0,0499","0,1849","0,5597","0,6607","0,6257","0,3845"
2021Q1,"0,0832","0,0889","0,0970","0,1299","0,6715","0,6581","0,6333","0,5377"
2021Q2,"0,0642","0,0876","0,0816","0,1082","0,6700","0,6241","0,6237","0,5114"
2021Q3,"0,0624","0,0363","0,0347","0,1596","0,5676","0,7210","0,6671","0,3905"
2022Q1,"0,0792","0,0684","0,0645","0,1092","0,6928","0,7394","0,7372","0,5744"
2022Q2,"0,0768","0,0630","0,0610","0,1115","0,6544","0,7010","0,6946","0,5299"
2022Q3,"0,0708","0,0363","0,0358","0,1539","0,5689","0,7094","0,6839","0,3922"
2023Q1,"0,0727","0,0652","0,0714","0,1286","0,6722","0,7099","0,6866","0,5211"
2023Q2,"0,0737","0,0642","0,0645","0,1171","0,6622","0,7038","0,7030","0,5180"
2023Q3,"0,0576","0,0349","0,0398","0,1374","0,5966","0,7146","0,6622","0,4025"
