Year and quater,SEAS5_mae,2D Conv-based_mae,3D Conv-based_mae,TimeSformer_mae,SEAS5_ssim,2D Conv-based_ssim,3D Conv-based_ssim,TimeSformer_ssim
2020Q1,"0,0839","0,0619","0,0645","0,0775","0,7437","0,7564","0,7524","0,7167"
2020Q2,"0,1107","0,0910","0,0891","0,1074","0,6522","0,6753","0,6757","0,6617"
2020Q3,"0,1163","0,0552","0,0518","0,1866","0,5037","0,6677","0,6216","0,2843"
2021Q1,"0,0814","0,0809","0,0837","0,0706","0,7491","0,7052","0,7059","0,7311"
2021Q2,"0,0898","0,1240","0,1119","0,0909","0,6908","0,6102","0,6192","0,6768"
2021Q3,"0,1101","0,0790","0,0706","0,1704","0,5345","0,6461","0,5915","0,3043"
2022Q1,"0,0840","0,0727","0,0715","0,0740","0,7400","0,7368","0,7386","0,7377"
2022Q2,"0,0911","0,0728","0,0791","0,0898","0,6773","0,6874","0,6647","0,7042"
2022Q3,"0,0956","0,0580","0,0773","0,1517","0,5510","0,6645","0,5910","0,3385"
2023Q1,"0,0774","0,0710","0,0657","0,0701","0,7418","0,7255","0,7321","0,7364"
2023Q2,"0,0955","0,0799","0,0850","0,0881","0,6992","0,6984","0,6812","0,7198"
2023Q3,"0,0881","0,0673","0,0653","0,1362","0,5621","0,6298","0,5895","0,3688"
