Year and quater,SEAS5_mae,2D Conv-based_mae,3D Conv-based_mae,TimeSformer_mae,SEAS5_ssim,2D Conv-based_ssim,3D Conv-based_ssim,TimeSformer_ssim
2020Q1,"0,0455","0,0313","0,0456","0,0928","0,8572","0,8622","0,8359","0,7068"
2020Q2,"0,0828","0,0594","0,0644","0,1097","0,7529","0,7674","0,7472","0,6698"
2020Q3,"0,2076","0,0861","0,0924","0,2713","0,4718","0,5669","0,5537","0,3840"
2021Q1,"0,0439","0,0296","0,0409","0,1017","0,8517","0,8647","0,8356","0,6846"
2021Q2,"0,0899","0,0618","0,0658","0,1145","0,7428","0,7696","0,7561","0,6675"
2021Q3,"0,2286","0,0976","0,0925","0,2432","0,4474","0,5790","0,5670","0,4101"
2022Q1,"0,0481","0,0269","0,0368","0,0899","0,8572","0,8709","0,8539","0,7150"
2022Q2,"0,0737","0,0614","0,0638","0,1127","0,7712","0,7736","0,7668","0,6694"
2022Q3,"0,1307","0,1376","0,1426","0,2220","0,5330","0,4893","0,4688","0,4441"
2023Q1,"0,0459","0,0271","0,0366","0,0793","0,8549","0,8789","0,8575","0,7490"
2023Q2,"0,0768","0,0626","0,0567","0,0867","0,7650","0,7755","0,7721","0,7299"
2023Q3,"0,1418","0,1456","0,1323","0,2300","0,5309","0,4728","0,4578","0,4699"
